,datePrecipDf,precipGR (m),precipIT (m),precipFR (m)
95,4/6/2022,0.01122699,0.001499802,0.004197219
96,4/7/2022,0.002276712,0.001318528,0.003373807
97,4/8/2022,0.001664668,0.003512804,0.003931339
98,4/9/2022,0.004342374,0.003347453,0.002288696
99,4/10/2022,0.001369844,0.008335809,0.005156839
100,4/11/2022,0.001903516,0.012355521,0.00620158
101,4/12/2022,0.001488176,0.004205254,0.009188673
102,4/13/2022,0.000901927,0.004177687,0.00474969
103,4/14/2022,0.002531299,0.001197664,0.002577213
104,4/15/2022,0.00209348,0.002088673,0.000635446
105,4/16/2022,0.006329685,0.001171861,0.005524221
106,4/17/2022,0.001027226,0.003247642,0.001878209
107,4/18/2022,0.000898519,0.001991635,0.000370286
108,4/19/2022,0.00241273,0.001406832,0.001300263
109,4/20/2022,0.016616066,0.002189861,0.003859694
110,4/21/2022,0.008901062,0.000218716,0.004890199
111,4/22/2022,0.001353775,0.000114766,0.000917997
112,4/23/2022,0.002435581,0.000259103,0.003829923
113,4/24/2022,0.001880125,0.001034156,0.01363853
114,4/25/2022,0.000167063,0.00310368,0.002576231
115,4/26/2022,0.002260807,0.002467392,0.003985692
116,4/27/2022,0.001114389,0.002130986,0.003617852
117,4/28/2022,0.000524208,0.007087925,0.000617321
118,4/29/2022,0.000119686,0.002604067,0.000325732
119,4/30/2022,0.000883421,0.001745013,0.001010956
120,5/1/2022,0.002672865,0.003601759,0.000308501
121,5/2/2022,0.006310315,0.001645172,0.000290929
122,5/3/2022,0.004424053,0.001396315,0.006546155
123,5/4/2022,0.00027866,0.00173621,0.000903776
124,5/5/2022,8.93e-05,0.002568398,0.008091545
125,5/6/2022,2.46e-05,0.000220808,0.002976316
126,5/7/2022,2.67e-05,0.00013846,0.001959162
127,5/8/2022,2.35e-05,0.003026181,0.006269216
128,5/9/2022,2.75e-05,0.001596152,0.002632245
129,5/10/2022,4.16e-05,0.002114767,0.002687248
130,5/11/2022,3.26e-05,0.001633753,0.005424231
131,5/12/2022,2.59e-05,0.016488045,0.011425495
132,5/13/2022,0.000394433,0.009757026,0.004867302
133,5/14/2022,3.29e-05,0.008918081,0.003774763
134,5/15/2022,4.44e-05,0.005445128,0.004107945
135,5/16/2022,0.000514709,0.00291517,0.000865596
136,5/17/2022,2.49e-05,0.00423292,0.009402052
137,5/18/2022,2.31e-05,0.003796,0.002983089
138,5/19/2022,2.75e-05,0.000632749,0.000230372
139,5/20/2022,2.92e-05,0.000157311,1.57e-05
140,5/21/2022,3.33e-05,6.19e-05,0.000798088
141,5/22/2022,4.31e-05,0.000289746,0.006405719
142,5/23/2022,3.98e-05,0.010560083,0.008531134
143,5/24/2022,2.67e-05,0.002972498,0.002877296
144,5/25/2022,2.62e-05,0.003003545,0.0002426
145,5/26/2022,0.001224762,0.000466795,0.00069889
146,5/27/2022,0.002016587,8.93e-05,0.007314345
147,5/28/2022,0.000582947,0.000612472,0.007394099
148,5/29/2022,3.39e-05,0.00184389,0.001917505
149,5/30/2022,0.00015096,2.23e-05,0.000938832
150,5/31/2022,3.13e-05,0.000630848,0.010676942
151,6/1/2022,4.49e-05,0.003054838,0.006735215
152,6/2/2022,4.59e-05,0.000612077,0.00233048
153,6/3/2022,4.97e-05,0.001013719,0.001558851
154,6/4/2022,4.12e-05,0.006360696,0.008581782
155,6/5/2022,0.001275632,0.005246613,0.006010069
156,6/6/2022,0.000153159,0.004874733,0.003847418
157,6/7/2022,0.000150997,0.005338892,0.004540367
158,6/8/2022,0.000147854,0.005060555,0.004060706
159,6/9/2022,0.002944537,0.000626206,0.002346659
160,6/10/2022,0.001001686,0.001089289,0.001485381
161,6/11/2022,0.000516639,0.000336092,0.007936424
162,6/12/2022,0.000207874,0.002886692,0.006185957
163,6/13/2022,4.52e-05,0.006445792,0.005320551
164,6/14/2022,0.000141843,0.002194499,0.003128112
165,6/15/2022,0.000970094,0.001866027,0.000622598
166,6/16/2022,0.001441499,0.000227874,0.002295199
167,6/17/2022,0.000628176,0.00259317,0.005328848
168,6/18/2022,0.001792198,0.002954391,0.000919363
169,6/19/2022,0.004853546,0.000606155,0.000230111
170,6/20/2022,0.001365532,0.000295702,0.002794763
171,6/21/2022,5.04e-05,0.002850205,0.008576643
172,6/22/2022,4.62e-05,0.003927341,0.004393532
173,6/23/2022,0.000392885,0.001432806,0.000241463
174,6/24/2022,0.000159796,0.000456573,0.00164104
175,6/25/2022,4.55e-05,9.91e-05,0.000544407
176,6/26/2022,3.55e-05,0.000247086,0.002926032
177,6/27/2022,4.42e-05,8.05e-05,0.006033072
178,6/28/2022,0.000119105,0.001043558,0.003343318
179,6/29/2022,5.22e-05,0.000460996,0.001089231
180,6/30/2022,5.08e-05,0.004204983,0.002901584
181,7/1/2022,0.000166508,0.000330384,7.39e-05
182,7/2/2022,0.001763766,0.000333269,0.001024355
183,7/3/2022,0.000592586,0.000917951,7.47e-05
184,7/4/2022,0.002479931,0.000334614,9.89e-05
185,7/5/2022,0.000127227,9.03e-05,3.26e-05
186,7/6/2022,9.81e-05,9.32e-05,4.64e-05
187,7/7/2022,0.0001123,0.000362974,0.00366378
188,7/8/2022,0.000116377,0.00073234,0.002601993
189,7/9/2022,0.000307207,0.00305994,0.009248011
190,7/10/2022,0.000161747,0.004558451,0.00833597
191,7/11/2022,0.00013109,0.00203095,0.00689349
192,7/12/2022,0.000110937,0.001209452,0.007133811
193,7/13/2022,0.000101537,0.0014337,0.005844125
194,7/14/2022,9.51e-05,0.002583145,0.003368229
195,7/15/2022,0.000594197,0.006057818,0.000996366
196,7/16/2022,0.000531314,0.000458644,0.001325408
197,7/17/2022,0.000109227,0.001897343,0.001069395
198,7/18/2022,8.71e-05,0.002641742,0.001151258
199,7/19/2022,0.000269044,0.000758731,0.001899466
200,7/20/2022,0.000116686,0.000123438,0.00262523
201,7/21/2022,8.86e-05,0.00055808,0.001721647
202,7/22/2022,0.000112836,0.000171265,8.65e-05
203,7/23/2022,0.000100482,0.001026764,0.002238504
204,7/24/2022,6.58e-05,0.000732767,0.01155846
205,7/25/2022,0.000113055,0.001151643,0.004032405
206,7/26/2022,0.000110139,0.000979654,0.00272283
207,7/27/2022,8.96e-05,0.002594348,0.004883144
208,7/28/2022,0.000108499,0.000487521,0.000753694
209,7/29/2022,0.000101387,0.001018063,0.005086571
210,7/30/2022,0.000112264,0.001209097,0.001406543
211,7/31/2022,9.89e-05,9.47e-05,0.00183974
212,8/1/2022,5.24e-05,0.000721096,0.000357458
213,8/2/2022,4.43e-05,0.001285316,0.001133613
214,8/3/2022,5.67e-05,0.001362211,0.0076741
215,8/4/2022,4.93e-05,0.003570777,0.012366347
216,8/5/2022,6.08e-05,0.001712086,0.002941262
217,8/6/2022,5.54e-05,0.000483266,0.000998446
218,8/7/2022,6.4e-05,0.002035792,0.00266554
219,8/8/2022,9.72e-05,0.000249411,0.001676103
220,8/9/2022,4.89e-05,0.000462881,0.00088868
221,8/10/2022,4.22e-05,0.001845936,0.000302535
222,8/11/2022,5.67e-05,0.001694125,6.58e-05
223,8/12/2022,8.15e-05,0.000113499,4.01e-05
224,8/13/2022,6.08e-05,0.000103673,0.000184832
225,8/14/2022,0.000472993,0.000693806,0.000488812
226,8/15/2022,0.000780439,0.002491333,0.000785467
227,8/16/2022,0.001507754,0.002813682,0.006830704
228,8/17/2022,0.011814737,0.001465189,0.000400603
229,8/18/2022,0.002165251,0.001123347,4.77e-05
230,8/19/2022,0.004183535,0.001370493,4.55e-05
231,8/20/2022,0.003296888,0.003511262,4.65e-05
232,8/21/2022,0.001402428,0.002472923,5.11e-05
233,8/22/2022,0.001020096,0.000127467,7.65e-05
234,8/23/2022,0.000406543,0.00030322,0.000578539
235,8/24/2022,0.000198399,0.00011019,9.21e-05
236,8/25/2022,6.84e-05,0.000116558,6.14e-05
237,8/26/2022,5.29e-05,0.000128789,0.00018036
238,8/27/2022,6.73e-05,0.00036288,0.000115475
239,8/28/2022,7.64e-05,0.000126926,9.48e-05
240,8/29/2022,7.25e-05,0.00039645,0.000423085
241,8/30/2022,5.8e-05,0.000624752,0.000565041
242,8/31/2022,7.86e-05,0.001101727,0.006641242
243,9/1/2022,8.27e-05,0.006891326,0.004904075
244,9/2/2022,0.00013046,0.001891207,0.000234096
245,9/3/2022,0.005678694,0.000124541,0.000847203
246,9/4/2022,0.000720956,0.000169129,2.97e-05
247,9/5/2022,0.000334184,0.000133445,2.76e-05
248,9/6/2022,0.000164375,9.21e-05,2.78e-05
249,9/7/2022,0.000375954,8.42e-05,2.77e-05
250,9/8/2022,6.24e-05,0.00026051,3.16e-05
251,9/9/2022,6.1e-05,0.000371191,2.73e-05
252,9/10/2022,6.61e-05,0.000229735,5.83e-05
253,9/11/2022,6.43e-05,0.004316624,0.000273951
254,9/12/2022,0.00010431,0.005032998,0.000211754
255,9/13/2022,0.000152129,0.000335968,0.000662332
256,9/14/2022,0.00014075,0.000792327,0.006234127
257,9/15/2022,7.11e-05,0.002955133,0.003705229
258,9/16/2022,0.004212744,0.007378048,0.00063507
259,9/17/2022,0.003939001,0.001678135,0.00084283
260,9/18/2022,0.000157753,9.34e-05,2.74e-05
261,9/19/2022,6.71e-05,8.35e-05,5.44e-05
262,9/20/2022,8.95e-05,0.000239286,0.001212547
263,9/21/2022,0.000101838,0.001133573,0.003027962
264,9/22/2022,0.000460619,0.003425485,0.010373896
265,9/23/2022,0.000584297,0.010972826,0.000241032
266,9/24/2022,0.000987797,0.005728088,0.000784466
267,9/25/2022,0.000312158,0.001155785,2.91e-05
268,9/26/2022,0.00021184,0.001496131,0.007785029
269,9/27/2022,0.000143886,0.004906985,0.006226861
270,9/28/2022,0.000260978,0.005074519,0.002579593
271,9/29/2022,5.63e-05,0.001510286,0.00277968
272,9/30/2022,7.6e-05,0.002857425,0.000416075
273,10/1/2022,7.58e-05,0.006776897,0.001563966
274,10/2/2022,5.81e-05,0.010927032,0.011839991
275,10/3/2022,8.86e-05,0.011085806,0.0030126
276,10/4/2022,0.004101472,0.003737256,0.012024017
277,10/5/2022,0.000272076,0.005395784,0.00531141
278,10/6/2022,0.002177538,0.001450798,0.0062563
279,10/7/2022,0.00475995,0.000887127,0.003461911
280,10/8/2022,0.000116876,6.58e-05,0.00348249
281,10/9/2022,0.000132628,5.82e-05,0.000468432
282,10/10/2022,0.00065677,6.92e-05,6.41e-05
283,10/11/2022,0.000132195,6.21e-05,0.00456367
284,10/12/2022,5.88e-05,6.64e-05,0.002506227
285,10/13/2022,6.24e-05,5.61e-05,0.003105032
286,10/14/2022,6.61e-05,0.000169785,0.004103508
287,10/15/2022,7.15e-05,6.19e-05,0.000325465
288,10/16/2022,7.16e-05,5.54e-05,2.99e-05
289,10/17/2022,8.6e-05,5.83e-05,2.28e-05
290,10/18/2022,6.12e-05,6.71e-05,2.81e-05
291,10/19/2022,7.09e-05,6.12e-05,2.79e-05
292,10/20/2022,7.12e-05,7.39e-05,4.87e-05
293,10/21/2022,7.2e-05,0.000152537,0.002211082
294,10/22/2022,7e-05,0.005279726,0.00904123
295,10/23/2022,0.000755771,0.018625409,0.004706468
296,10/24/2022,0.017831955,0.001820641,0.003662008
297,10/25/2022,0.001055064,0.003182458,0.012831008
298,10/26/2022,0.002999156,0.00154429,0.005638968
299,10/27/2022,9.7e-05,0.000130564,0.004894496
300,10/28/2022,7.6e-05,0.0001201,0.011527608
301,10/29/2022,7.24e-05,9.51e-05,0.007783731
302,10/30/2022,6.39e-05,0.001825068,0.005183468
303,10/31/2022,7.27e-05,0.00435134,0.003187484
304,11/1/2022,0.000175726,0.000743215,0.002073112
305,11/2/2022,6.9e-05,0.00070949,5.06e-05
306,11/3/2022,0.011468645,0.001081107,3.19e-05
307,11/4/2022,0.023157428,0.001301141,2.03e-05
308,11/5/2022,0.00695376,0.000216158,4.45e-05
309,11/6/2022,0.001948132,0.000646679,3.27e-05
310,11/7/2022,0.000349741,0.00065973,1.87e-05
311,11/8/2022,6.15e-05,0.000182141,9.68e-05
312,11/9/2022,4.33e-05,0.000354112,0.002350683
313,11/10/2022,0.000501784,0.000612728,0.003101046
314,11/11/2022,0.002066469,0.00015363,0.002505209
315,11/12/2022,9.91e-05,0.002907136,0.003993214
316,11/13/2022,0.001850741,0.003734799,0.003575136
317,11/14/2022,0.000144338,0.000219787,0.007632667
318,11/15/2022,3.91e-05,0.000146818,0.001271372
319,11/16/2022,3.78e-05,0.007024554,0.005948044
320,11/17/2022,4.37e-05,0.011065533,0.012082793
321,11/18/2022,4.41e-05,0.014682449,0.003031332
322,11/19/2022,0.000129936,0.027494992,0.001186253
323,11/20/2022,0.002124668,0.010671586,0.002310438
324,11/21/2022,0.005064739,0.007218575,0.000564227
325,11/22/2022,0.011936992,0.002301508,0.000216571
326,11/23/2022,0.000477723,0.001914644,0.003223814
327,11/24/2022,7.91e-05,0.007267542,0.002547045
328,11/25/2022,4.13e-05,0.011719613,0.008613595
329,11/26/2022,0.001766036,0.012570386,0.002897464
330,11/27/2022,0.006580532,0.002473568,0.003210772
331,11/28/2022,0.006719841,0.002949066,5.18e-05
332,11/29/2022,0.008301569,0.000995136,0.000943147
333,11/30/2022,0.005943003,0.000424086,0.002293469
334,12/1/2022,0.007078366,0.000232464,1.85e-05
335,12/2/2022,0.007911102,0.000200874,1.01e-05
336,12/3/2022,0.004233866,0.000853035,0.000378708
337,12/4/2022,0.003714327,0.000739435,0.003209431
338,12/5/2022,0.001217223,0.000392875,0.007368559
339,12/6/2022,0.000342882,0.002539622,0.000175629
340,12/7/2022,0.000224818,0.00208585,0.000144887
341,12/8/2022,0.000141617,0.000274593,0.000284702
342,12/9/2022,0.000345718,0.000871449,0.00645541
343,12/10/2022,0.000636965,0.008059548,0.003968688
344,12/11/2022,0.003365165,0.002503807,0.003123703
345,12/12/2022,0.008738044,0.004364893,0.000453457
346,12/13/2022,0.016807131,0.005643089,0.00020265
347,12/14/2022,0.018906046,0.003062431,9.4e-05
348,12/15/2022,0.002698839,0.00022327,0.001442879
349,12/16/2022,0.001591243,0.003810185,0.003049722
350,12/17/2022,0.003828987,0.008223446,0.000376994
351,12/18/2022,0.004387062,0.004177481,0.000541427
352,12/19/2022,0.002056275,0.00092058,0.000234625
353,12/20/2022,0.002148666,0.00195437,0.004679837
354,12/21/2022,0.010393396,0.004919535,0.002029058
355,12/22/2022,0.008565809,0.00560956,0.001505471
356,12/23/2022,0.005590994,0.002919263,0.001113599
357,12/24/2022,0.005075691,0.002467323,0.000385131
358,12/25/2022,0.00766115,0.00798197,0.000225773
359,12/26/2022,0.006715887,0.001400352,0.00043402
360,12/27/2022,0.006989246,0.003785439,0.000275966
361,12/28/2022,0.006268465,0.003324261,8.77e-05
362,12/29/2022,0.005095405,0.001041801,0.000407093
363,12/30/2022,0.001843188,0.00055043,0.000730561
364,12/31/2022,0.000634774,0.000303083,0.000212107
365,1/1/2023,0.000194878,0.000778355,0.00028323
366,1/2/2023,0.004883349,0.000193853,0.002131181
367,1/3/2023,0.001328194,0.001613119,0.000185575
368,1/4/2023,0.000997492,0.00377718,6.53e-05
369,1/5/2023,0.00092869,0.001608995,1.61e-05
370,1/6/2023,0.001388918,0.000357227,0.000310713
371,1/7/2023,0.000344416,0.000449602,0.00146768
372,1/8/2023,0.000176489,0.006128711,0.007994993
373,1/9/2023,0.000205051,0.019788521,0.003571481
374,1/10/2023,0.005418899,0.008591985,0.002058916
375,1/11/2023,0.011280234,0.001982657,0.000698814
376,1/12/2023,0.002168023,0.000146805,0.008836481
377,1/13/2023,0.000143786,0.000147158,0.005681429
378,1/14/2023,2.97e-05,0.004801775,0.005657129
379,1/15/2023,2.42e-05,0.002484767,0.002819133
380,1/16/2023,3.03e-05,0.003170629,0.002818606
381,1/17/2023,2.91e-05,0.000564042,0.001312038
382,1/18/2023,2.58e-05,0.000150494,0.000422357
383,1/19/2023,2.77e-05,0.000326299,0.000139561
384,1/20/2023,2.65e-05,0.000427982,0.000429965
385,1/21/2023,2.72e-05,0.000132052,0.000317488
386,1/22/2023,0.000350139,0.001433596,0.005232708
387,1/23/2023,0.001923005,0.004571498,0.001880673
388,1/24/2023,0.002177558,0.000533667,0.003353403
389,1/25/2023,2.5e-05,0.004070728,0.002536797
390,1/26/2023,2.82e-05,0.002369621,0.002745298
391,1/27/2023,0.001243198,0.002740984,0.00122416
392,1/28/2023,0.000576302,0.001831002,0.002557997
393,1/29/2023,0.000484474,0.008515901,0.002209586
394,1/30/2023,0.00154047,0.003126283,0.000812207
395,1/31/2023,0.012500986,0.003333687,0.000606977
396,2/1/2023,0.006137998,0.006216916,0.001004815
397,2/2/2023,0.003081802,0.002723385,0.001113026
398,2/3/2023,0.002467478,0.001533601,0.000781061
399,2/4/2023,0.004838089,0.001578334,0.000507069
400,2/5/2023,0.003005159,0.001293088,0.002465596
401,2/6/2023,0.001618094,0.010912087,0.002116386
402,2/7/2023,0.006418462,0.002804894,0.000757357
403,2/8/2023,0.016224056,0.001200506,0.001921246
404,2/9/2023,0.009719894,0.005524936,0.002619255
405,2/10/2023,0.00860996,0.001215737,0.001158406
406,2/11/2023,0.000135065,0.006923802,0.005529358
407,2/12/2023,0.001364686,0.00536516,0.001829688
408,2/13/2023,0.004364753,0.001913671,0.00080112
409,2/14/2023,0.001998187,0.000948763,0.002172639
410,2/15/2023,0.002247839,0.002298302,0.002030356
411,2/16/2023,0.00177314,0.010804171,0.000616835
412,2/17/2023,0.009800528,0.003946539,0.000119175
413,2/18/2023,0.007389137,0.000901982,0.001457682
414,2/19/2023,0.002496659,0.000486557,0.005894845
415,2/20/2023,0.000346938,0.000500914,0.00493133
416,2/21/2023,3.89e-05,9.71e-05,0.008565066
417,2/22/2023,5.45e-05,0.01248538,0.005384087
418,2/23/2023,0.007090113,0.005797024,0.000956243
419,2/24/2023,0.003602403,0.003028361,0.004945712
420,2/25/2023,0.005695738,0.009042064,0.004722426
421,2/26/2023,0.017667979,0.002051785,0.002807526
422,2/27/2023,0.006839502,0.002486609,0.000839596
423,2/28/2023,0.007727481,0.001034605,8.6e-05
424,3/1/2023,0.001081838,0.000241885,7.28e-06
425,3/2/2023,4.17e-05,0.001394076,0.003037104
426,3/3/2023,3.91e-05,0.009342637,0.004292623
427,3/4/2023,0.001031191,0.008979605,0.006240639
428,3/5/2023,0.000121619,0.00529374,0.002278867
429,3/6/2023,0.000621226,0.004575325,0.000866708
430,3/7/2023,0.000446421,0.004216489,0.000251243
431,3/8/2023,0.001487899,0.000139768,0.002361964
432,3/9/2023,5.26e-05,0.003211352,0.000365379
433,3/10/2023,0.001118035,0.005895258,0.002417637
434,3/11/2023,0.004533431,0.001146375,0.010561866
435,3/12/2023,0.000191354,0.008603409,0.002708393
436,3/13/2023,0.002718016,0.002109272,0.001560805
437,3/14/2023,0.004018072,0.000326425,0.003287954
438,3/15/2023,0.000140927,0.003820294,0.003955979
439,3/16/2023,5.16e-05,0.007717888,0.001777682
440,3/17/2023,0.000206549,0.002444898,0.000663891
441,3/18/2023,5.88e-05,0.001569104,0.000988548
442,3/19/2023,4.4e-05,0.005149709,0.001487995
443,3/20/2023,0.001792218,0.003438732,0.001353675
444,3/21/2023,0.00808666,0.008014232,0.001593755
445,3/22/2023,0.01057938,0.007118993,0.000674133
446,3/23/2023,0.00700904,0.00205399,0.000361065
447,3/24/2023,0.003862123,0.000496699,0.003996309
448,3/25/2023,0.003116975,0.000963115,0.006499368
449,3/26/2023,0.000991196,0.00290447,0.009769824
450,3/27/2023,0.006615789,0.002011652,0.006289251
451,3/28/2023,0.007714708,0.002363296,0.001720723
452,3/29/2023,0.012188142,0.000757286,0.000519753
453,3/30/2023,0.004770113,0.002815211,0.005282292
454,3/31/2023,0.000794883,0.008632216,0.00364054
455,4/1/2023,5.43e-05,0.001961636,0.002564083
456,4/2/2023,3.78e-05,0.001805194,0.004091702
457,4/3/2023,0.000661873,0.001281636,0.005488284
458,4/4/2023,0.001383544,0.000157986,0.003548754
459,4/5/2023,0.000488316,0.000814646,0.003696117
460,4/6/2023,0.001602512,0.002550107,0.003434454
461,4/7/2023,0.00275376,0.001791102,0.001190204
462,4/8/2023,0.004933719,0.000122815,0.003083668
463,4/9/2023,0.00231897,2.74e-05,0.005718425
464,4/10/2023,0.000227895,0.002506221,0.003742378
465,4/11/2023,6.93e-05,0.002749723,0.001691637
466,4/12/2023,8.47e-05,0.00152352,0.001129007
467,4/13/2023,0.000133634,0.002861471,7.09e-05
468,4/14/2023,0.000844482,0.002947095,0.000268257
469,4/15/2023,0.001928967,0.003269708,0.000271971
470,4/16/2023,0.004834856,0.002613725,0.000377218
471,4/17/2023,0.001999464,0.001931106,0.000723776
472,4/18/2023,0.001909431,0.00322417,0.000969865
473,4/19/2023,0.009656313,0.004873346,0.000642891
474,4/20/2023,0.001743871,0.001938399,0.00055815
475,4/21/2023,0.005740261,0.001803384,0.001898939
476,4/22/2023,0.007083563,0.000191596,0.002177967
477,4/23/2023,0.000611655,0.000693433,0.003212645
478,4/24/2023,3.87e-05,0.001199375,0.006503271
479,4/25/2023,5.19e-05,0.002501234,0.002188865
480,4/26/2023,6.33e-05,0.001957192,0.004450208
481,4/27/2023,3.35e-05,0.001117679,0.00648503
482,4/28/2023,2.94e-05,0.001574221,0.002571472
483,4/29/2023,6.98e-05,0.000552209,0.006883471
484,4/30/2023,0.000261481,0.001448834,0.00323646
485,5/1/2023,0.001048995,0.001388504,0.003229519
486,5/2/2023,0.002428447,0.00158993,0.002669911
487,5/3/2023,0.000900474,0.00078308,0.001649878
488,5/4/2023,0.000336833,0.000712835,0.000501696
489,5/5/2023,0.000219823,0.000235181,0.008567424
490,5/6/2023,2.67e-05,0.001020854,0.004354068
491,5/7/2023,3.27e-05,0.003070594,0.001864202
492,5/8/2023,3.16e-05,0.006652566,0.001098069
493,5/9/2023,5.35e-05,0.001417038,0.000496798
494,5/10/2023,0.000234619,0.001608786,0.002737821
495,5/11/2023,0.000984735,0.002614154,0.003029508
496,5/12/2023,3.43e-05,0.00593541,0.003363435
497,5/13/2023,4.02e-05,0.005280255,0.003681512
498,5/14/2023,0.004021474,0.002305218,0.002045033
499,5/15/2023,0.000770503,0.001983108,0.002633388
500,5/16/2023,0.000920918,0.014474468,0.007540144
501,5/17/2023,0.000183072,0.007481599,0.003563579
502,5/18/2023,0.001686612,0.005038304,0.00398996
503,5/19/2023,0.000324956,0.003142791,0.006795652
504,5/20/2023,0.001512824,0.00099196,0.005656237
505,5/21/2023,3.57e-05,0.00021481,0.002683258
