index,name,maps,type,website,imgpath,desc
11,Piazza Barberini,https://goo.gl/maps/Xhk3Lici8rkuruBU8,out,,../assets/points_of_interest/rome/out_places/piazzabarberinni.jpg,"Piazza Barberini is a large piazza in the centro storico or city center of Rome, Italy and situated on the Quirinal Hill. It was created in the 16th century but many of the surrounding buildings have subsequently been rebuilt. "
12,Piazza di Spagna,https://goo.gl/maps/RfmfhWgFCCMqv2tA8,out,,../assets/points_of_interest/rome/out_places/piazzadispagna.jpg,"Piazza di Spagna, at the bottom of the Spanish Steps, is one of the most famous squares in Rome, Italy. It owes its name to the Palazzo di Spagna, the seat of the Embassy of Spain to the Holy See. There is also the famed Column of the Immaculate Conception of the Blessed Virgin Mary"
13,Fregene,https://goo.gl/maps/xsQQLA2xWusS4PWHA,beach,,../assets/points_of_interest/rome/beach/fregene.jpg,"West of Rome and close to Fumicino airport, Fregene is the favored beach for lively young Romans, who begin to gather in the late afternoon and stay into the night at the beachside clubs and restaurants. The tone of the stabilimenti is decidedly chic, and they are frequented by the stylish club set, but in the daytime, the beach is popular with families and tends to be less crowded than nearby Ostia."
14,Sperlonga,https://goo.gl/maps/aTMvGxe7P7eVwMxz8,beach,,../assets/points_of_interest/rome/beach/sperlonga.jpg,"It may not be the closest beach to Rome, but you can hardly ask for a prettier holiday town, with its whitewashed houses descending along narrow lanes above a pair of crescent beaches. A small promontory lies between the beaches, which drop in long shallow sweeps into a sea so clear and clean that it has earned a Blue Flag designation."
15,Santa Marinella,https://goo.gl/maps/1KEYY1pht8HAWbqAA,beach,,../assets/points_of_interest/rome/beach/santamarinella.jpg,"Closer to Rome and less complicated to reach – it's less than an hour by a train that takes you within a five minutes' walk of the beach – Santa Marinella is less picturesque, but has a fine-sand beach protected by a breakwater. The gradual decent into the clear water makes it a favorite for families with small children. There is very little free beach, but you will welcome the shade offered by a lido."
16,Anzio,https://goo.gl/maps/RierhKyDK1FqyLX6A,beach,,../assets/points_of_interest/rome/beach/anzio.jpg,"An hour south of Rome and easy to reach by train, Anzio's long golden-sand beach is protected by a breakwater that keeps the clear turquoise water shallow and placid. This, and the beach's Blue Flag status, makes it a popular choice for families with small children, who can play safely in the gentle waves."
17,River Tiber,https://goo.gl/maps/uyJHsgpMBVGu18a79,nature,,../assets/points_of_interest/rome/nature/tiber.jpg,"The Tiber is the third-longest river in Italy and the longest in Central Italy, rising in the Apennine Mountains in Emilia-Romagna and flowing 406 km through Tuscany, Umbria, and Lazio, where it is joined by the River Aniene, to the Tyrrhenian Sea, between Ostia and Fiumicino"
18,Giardini Di Villa Barberini,https://goo.gl/maps/AYhChpF5CnxZLK4a8,nature,,../assets/points_of_interest/rome/nature/villabarberinni.jpg,"The Palazzo Barberini  is a 17th-century palace in Rome, facing the Piazza Barberini in Rione Trevi. Today, it houses the Galleria Nazionale d'Arte Antica, the main national collection of older paintings in Rome."
19,Botanical Garden of Rome,https://goo.gl/maps/JjmSa1LbZt3Qg4AN8,nature,,../assets/points_of_interest/rome/nature/rome-botanic-gardens.jpg,"The Orto Botanico dell'Università di Roma ""La Sapienza"", also known as the Orto Botanico di Roma, is a botanical garden operated by the Sapienza University of Rome and located at Largo Cristina di Svezia 24, Rome, Italy. It is open every day including Sundays; an admission fee is charged."
20,Villa Doria Pamphili,https://goo.gl/maps/58YKkxzQENLgFjuU6,nature,,../assets/points_of_interest/rome/nature/VillaDoriaPamphili.jpg,"The Villa Doria Pamphili is a seventeenth-century villa with what is today the largest landscaped public park in Rome, Italy. It is located in the quarter of Monteverde, on the Gianicolo, just outside the Porta San Pancrazio in the ancient walls of Rome where the ancient road of the Via Aurelia commences."
21,Parco degli Acquedotti,https://goo.gl/maps/Qp7icbeoda2NwGHDA,nature,,../assets/points_of_interest/rome/nature/parco-degli-acquedotti-roma.jpg,"Few images are as illustrative of Rome as that of Roman pines juxtaposed with ancient aqueducts. The expansive Park of the Aqueducts in the south of the city is located near the ancient Appian Way and contains part of the Acqua Claudia, constructed between 38 -52 AD and considered one of the four great aqueducts of ancient Rome. Due to its photogenic appeal, and proximity to Rome’s Cinecittà Film studios, the park has been featured in many notable Italian films including La Dolce Vita and La Grande Bellezza."
22,Orange Garden,https://goo.gl/maps/vTWiDZDWZ8sfvnPCA,nature,,../assets/points_of_interest/rome/nature/GardenofOrangesinRome.jpg,"The Orange Garden located on the top of Aventine Hill is not only one of the loveliest oases in the city, it also has one of the most beautiful views over the city of Rome. This little gated garden is named for its eponymous orange trees though it has a fair number of umbrella pines framing a view onto St. Peter’s dome. The orange trees were planted as an homage to St. Domenico who founded a monastery next door, the Basilica of Saint Sabina, and is said to have planted a bitter orange tree in its garden in 1222."
23,St. Peter's Basilica,https://goo.gl/maps/nww4LzqiPfnB8FXM9,religion,,../assets/points_of_interest/rome/religion/saintpetersbasillica.jpg,"The Papal Basilica of Saint Peter in the Vatican, or simply Saint Peter's Basilica, is a church built in the Renaissance style located in Vatican City, the papal enclave that is within the city of Rome, Italy."
24,Basilica Papale di Santa Maria Maggiore,https://goo.gl/maps/9SsB962fqQP7qBgN7,religion,,../assets/points_of_interest/rome/religion/maria_maggiore.jpg,"The Basilica of Saint Mary Major, or church of Santa Maria Maggiore, is a Major papal basilica as well as one of the Seven Pilgrim Churches of Rome and the largest Catholic Marian church in Rome, Italy."
25,Basilica di San Giovanni in Laterano,https://goo.gl/maps/eBr8zwo1js6Vaf2H8,religion,,../assets/points_of_interest/rome/religion/giovannilaterano.jpg,"The Archbasilica Cathedral of the Most Holy Savior and of Saints John the Baptist and John the Evangelist in the Lateran, also known as the Papal Archbasilica of Saint John [in] Lateran, Saint John"
26,Church of St Mary Magdalene,https://goo.gl/maps/GkEZidCx6vEZyqv16,religion,,../assets/points_of_interest/rome/religion/ChurchofStMaryMagdalene.jpg,"The Santa Maria Maddalena is a Roman Catholic church in Rome, named after Saint Mary Magdalene. It is located on the Via della Maddalena, one of the streets leading from the Piazza della Rotonda in the Campo Marzio area of historic Rome. It is the regional church for the people of Abruzzo."
27,The Church of Santa Maria della Vittoria,https://goo.gl/maps/NkjNruj6A5MhAtF26,religion,,../assets/points_of_interest/rome/religion/MariadellaVittoria.jpg,"Santa Maria della Vittoria is a Catholic titular church and basilica dedicated to the Virgin Mary in Rome, Italy. The church is known for the masterpiece of Gian Lorenzo Bernini in the Cornaro Chapel, the Ecstasy of Saint Teresa."
28,Church of Saints Dominic and Sixtus,https://goo.gl/maps/M6REtdjE6Fc1csqM8,religion,,../assets/points_of_interest/rome/religion/dominicandsixtuschurch.jpg,"The Church of Santi Domenico e Sisto is one of the titular churches in Rome, Italy in the care of the Roman Catholic Order of Preachers, better known as the Dominicans."
